Commodity,Country,UOM,Category,SubCategory,RowNumber,YearNum,FoodValue
"Total coffee, tea, and spices",BRAZIL,Million $,Coffee,Foods,1,1999,553.3
"Total coffee, tea, and spices",COLOMBIA,Million $,Coffee,Foods,2,1999,519.3
"Total coffee, tea, and spices",SWITZERLAND,Million $,Coffee,Foods,3,1999,4.0
"Total coffee, tea, and spices",MEXICO,Million $,Coffee,Foods,4,1999,480.6
"Total coffee, tea, and spices",VIETNAM,Million $,Coffee,Foods,5,1999,118.1
"Total coffee, tea, and spices",CANADA,Million $,Coffee,Foods,6,1999,172.3
"Total coffee, tea, and spices",INDIA,Million $,Coffee,Foods,7,1999,180.0
"Total coffee, tea, and spices",REST OF WORLD,Million $,Coffee,Foods,8,1999,1576.1
"Total coffee, tea, and spices",WORLD,Million $,Coffee,Foods,9,1999,3603.7
"Total coffee, tea, and spices",WORLD (Quantity),"1,000 mt",Coffee,Foods,10,1999,1650.7
"Coffee beans, unroasted",BRAZIL,Million $,Coffee,Foods,11,1999,466.7
"Coffee beans, unroasted",COLOMBIA,Million $,Coffee,Foods,12,1999,497.3
"Coffee beans, unroasted",GUATEMALA,Million $,Coffee,Foods,13,1999,301.5
"Coffee beans, unroasted",HONDURAS,Million $,Coffee,Foods,14,1999,49.3
"Coffee beans, unroasted",PERU,Million $,Coffee,Foods,15,1999,88.8
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,1999,100.3
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,1999,1030.1
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,1999,2534.0
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,1999,1233.6
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,1999,0.8
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,1999,83.4
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,1999,15.4
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,1999,5.4
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,1999,6.7
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,1999,68.4
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,1999,180.1
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,1999,40.9
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,1999,27.4
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,1999,43.5
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,1999,16.2
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,1999,33.4
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,1999,61.5
Coffee extracts and preparations,WORLD,Million $,Coffee,Foods,33,1999,182.0
Coffee extracts and preparations,WORLD (Quantity),"1,000 mt",Coffee,Foods,34,1999,34.7
Tea and mate,JAPAN,Million $,Coffee,Foods,35,1999,3.7
Tea and mate,CHINA,Million $,Coffee,Foods,36,1999,24.5
Tea and mate,CANADA,Million $,Coffee,Foods,37,1999,37.0
Tea and mate,INDIA,Million $,Coffee,Foods,38,1999,20.3
Tea and mate,REST OF WORLD,Million $,Coffee,Foods,39,1999,127.1
Tea and mate,WORLD,Million $,Coffee,Foods,40,1999,212.6
Tea and mate,WORLD (Quantity),"1,000 mt",Coffee,Foods,41,1999,152.0
Spices,VIETNAM,Million $,Coffee,Foods,42,1999,16.6
Spices,INDIA,Million $,Coffee,Foods,43,1999,144.6
